Current,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CO_ID,YYYY/MM,Quarter,consolidation,Month,Currency,Total current tax assets,Total deferred tax assets,Total assets,Total current tax liabilities,Total equity,Total liabilities,Earnings Before Interest and Tax,Total interest income,Total comprehensive income,Total operating expense,Total retained earnings
6031 LINE Bank,2024/09,3,N,09,NTD,"63,099","1,488,396","79,728,276",0,"11,492,590","68,235,686","-148,952","1,392,477","-716,016","1,520,691","-3,473,908"
6039 Next Bank,2024/09,3,N,09,NTD,"38,369","971,156","41,603,098",0,"8,764,226","32,838,872","-415,622","509,111","-582,850","821,033","-1,240,145"
